2025-03-03 21:05.535 INFO     
RPi ZeroW Powered On (systemd service start)!


2025-03-03 21:15.395 INFO     temp: 15.8 Â°C
2025-03-03 21:15.504 INFO     pres: 977.5 hPa
2025-03-03 21:15.510 INFO     humi: 28.8 %
2025-03-03 21:15.544 INFO     ligh: 47.1 Lux
2025-03-03 21:15.177 INFO     oxid: 206.8 kO
2025-03-03 21:15.244 INFO     redu: 0.8 kO
2025-03-03 21:15.306 INFO     nh3: 2.4 kO
2025-03-03 21:15.366 INFO     pm1: 15.0 ug/m3
2025-03-03 21:15.267 INFO     pm25: 26.0 ug/m3
2025-03-03 21:15.270 INFO     pm10: 26.0 ug/m3
2025-03-03 21:25.282 INFO     temp: 22.3 Â°C
2025-03-03 21:25.290 INFO     pres: 977.7 hPa
2025-03-03 21:25.294 INFO     humi: 25.6 %
2025-03-03 21:25.307 INFO     ligh: 48.4 Lux
2025-03-03 21:25.374 INFO     oxid: 13.2 kO
2025-03-03 21:25.437 INFO     redu: 503.7 kO
2025-03-03 21:25.517 INFO     nh3: 281.5 kO
2025-03-03 21:25.519 INFO     pm1: 15.0 ug/m3
2025-03-03 21:25.701 INFO     pm25: 26.0 ug/m3
2025-03-03 21:25.715 INFO     pm10: 26.0 ug/m3
2025-03-03 21:34.723 INFO     temp: 20.8 Â°C
2025-03-03 21:34.734 INFO     pres: 977.8 hPa
2025-03-03 21:34.738 INFO     humi: 27.1 %
2025-03-03 21:34.746 INFO     ligh: 50.6 Lux
2025-03-03 21:34.807 INFO     oxid: 18.2 kO
2025-03-03 21:34.874 INFO     redu: 507.5 kO
2025-03-03 21:34.929 INFO     nh3: 292.8 kO
2025-03-03 21:34.932 INFO     pm1: 15.0 ug/m3
2025-03-03 21:34.109 INFO     pm25: 25.0 ug/m3
2025-03-03 21:34.115 INFO     pm10: 26.0 ug/m3
2025-03-03 21:44.129 INFO     temp: 21.0 Â°C
2025-03-03 21:44.136 INFO     pres: 978.0 hPa
2025-03-03 21:44.140 INFO     humi: 26.9 %
2025-03-03 21:44.150 INFO     ligh: 48.4 Lux
2025-03-03 21:44.217 INFO     oxid: 21.2 kO
2025-03-03 21:44.287 INFO     redu: 504.6 kO
2025-03-03 21:44.347 INFO     nh3: 298.5 kO
2025-03-03 21:44.350 INFO     pm1: 15.0 ug/m3
2025-03-03 21:44.525 INFO     pm25: 25.0 ug/m3
2025-03-03 21:44.527 INFO     pm10: 26.0 ug/m3
2025-03-03 21:54.540 INFO     temp: 24.5 Â°C
2025-03-03 21:54.544 INFO     pres: 978.2 hPa
2025-03-03 21:54.553 INFO     humi: 23.9 %
2025-03-03 21:54.564 INFO     ligh: 50.6 Lux
2025-03-03 21:54.635 INFO     oxid: 21.8 kO
2025-03-03 21:54.699 INFO     redu: 474.5 kO
2025-03-03 21:54.754 INFO     nh3: 262.4 kO
2025-03-03 21:54.764 INFO     pm1: 15.0 ug/m3
2025-03-03 21:54.934 INFO     pm25: 25.0 ug/m3
2025-03-03 21:54.941 INFO     pm10: 25.0 ug/m3
2025-03-03 22:04.961 INFO     temp: 21.8 Â°C
2025-03-03 22:04.966 INFO     pres: 978.4 hPa
2025-03-03 22:04.972 INFO     humi: 26.2 %
2025-03-03 22:04.981 INFO     ligh: 50.6 Lux
2025-03-03 22:04.050 INFO     oxid: 23.7 kO
2025-03-03 22:04.117 INFO     redu: 491.6 kO
2025-03-03 22:04.178 INFO     nh3: 275.7 kO
2025-03-03 22:04.181 INFO     pm1: 16.0 ug/m3
2025-03-03 22:04.357 INFO     pm25: 25.0 ug/m3
2025-03-03 22:04.360 INFO     pm10: 25.0 ug/m3
2025-03-03 22:14.370 INFO     temp: 21.2 Â°C
2025-03-03 22:14.374 INFO     pres: 978.6 hPa
2025-03-03 22:14.380 INFO     humi: 26.9 %
2025-03-03 22:14.390 INFO     ligh: 50.6 Lux
2025-03-03 22:14.468 INFO     oxid: 25.4 kO
2025-03-03 22:14.535 INFO     redu: 488.2 kO
2025-03-03 22:14.607 INFO     nh3: 279.4 kO
2025-03-03 22:14.610 INFO     pm1: 15.0 ug/m3
2025-03-03 22:14.793 INFO     pm25: 24.0 ug/m3
2025-03-03 22:14.795 INFO     pm10: 23.0 ug/m3
2025-03-03 22:24.810 INFO     temp: 21.0 Â°C
2025-03-03 22:24.814 INFO     pres: 978.6 hPa
2025-03-03 22:24.821 INFO     humi: 27.5 %
2025-03-03 22:24.830 INFO     ligh: 50.6 Lux
2025-03-03 22:24.897 INFO     oxid: 26.9 kO
2025-03-03 22:24.965 INFO     redu: 482.6 kO
2025-03-03 22:24.028 INFO     nh3: 280.7 kO
2025-03-03 22:24.030 INFO     pm1: 15.0 ug/m3
2025-03-03 22:24.207 INFO     pm25: 22.0 ug/m3
2025-03-03 22:24.210 INFO     pm10: 21.0 ug/m3
2025-03-03 22:33.227 INFO     temp: 20.7 Â°C
2025-03-03 22:33.232 INFO     pres: 978.7 hPa
2025-03-03 22:33.240 INFO     humi: 28.1 %
2025-03-03 22:33.254 INFO     ligh: 50.6 Lux
2025-03-03 22:33.327 INFO     oxid: 28.0 kO
2025-03-03 22:33.385 INFO     redu: 479.4 kO
2025-03-03 22:33.448 INFO     nh3: 276.5 kO
2025-03-03 22:33.450 INFO     pm1: 14.0 ug/m3
2025-03-03 22:33.624 INFO     pm25: 21.0 ug/m3
2025-03-03 22:33.626 INFO     pm10: 21.0 ug/m3
