"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2015","84","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"01/02/2015","88","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"01/03/2015","112","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"01/04/2015","93","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"01/05/2015","57","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"01/06/2015","70","","Big Bear","06-071-8001","AQS"
"01/07/2015","57","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"01/08/2015","62","","Upland","06-071-1004","AQS"
"01/09/2015","106","","Fontana","06-071-2002","AQS"
"01/10/2015","125","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"01/11/2015","103","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"01/12/2015","85","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"01/13/2015","90","","Upland","06-071-1004","AQS"
"01/14/2015","45","","Upland","06-071-1004","AQS"
"01/15/2015","53","","Crestline","06-071-0005","AQS"
"01/16/2015","53","","Crestline","06-071-0005","AQS"
"01/17/2015","54","","Crestline","06-071-0005","AQS"
"01/18/2015","73","","Big Bear","06-071-8001","AQS"
"01/19/2015","90","","Upland","06-071-1004","AQS"
"01/20/2015","134","","Upland","06-071-1004","AQS"
"01/21/2015","100","","Upland","06-071-1004","AQS"
"01/22/2015","15","","Crestline","06-071-0005","AQS"
"01/23/2015","21","","Upland","06-071-1004","AQS"
"01/24/2015","29","","Big Bear","06-071-8001","AQS"
"01/25/2015","62","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"01/26/2015","61","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"01/27/2015","67","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"01/28/2015","67","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"01/29/2015","53","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"01/30/2015","54","","Crestline","06-071-0005","AQS"
"01/31/2015","61","","Upland","06-071-1004","AQS"
"02/01/2015","55","","Crestline","06-071-0005","AQS"
"02/02/2015","58","","Fontana","06-071-2002","AQS"
"02/03/2015","88","","Upland","06-071-1004","AQS"
"02/04/2015","143","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"02/05/2015","132","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"02/06/2015","95","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"02/07/2015","88","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"02/08/2015","60","","Upland","06-071-1004","AQS"
"02/09/2015","59","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"02/10/2015","58","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"02/11/2015","67","","Fontana","06-071-2002","AQS"
"02/12/2015","41","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"02/13/2015","50","","Crestline","06-071-0005","AQS"
"02/14/2015","145","","San Bernardino","06-071-9004","AQS"
"02/15/2015","62","","Upland","06-071-1004","AQS"
"02/16/2015","74","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"02/17/2015","115","","Upland","06-071-1004","AQS"
"02/18/2015","117","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"02/19/2015","134","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"02/20/2015","135","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"02/21/2015","77","","Upland","06-071-1004","AQS"
"02/22/2015","56","","Upland","06-071-1004","AQS"
"02/23/2015","49","","Upland","06-071-1004","AQS"
"02/24/2015","53","","Crestline","06-071-0005","AQS"
"02/25/2015","56","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"02/26/2015","68","","Ontario-Route 60 Near Road","06-071-0027","AQS"
"02/27/2015","67","","Upland","06-071-1004","AQS"
"02/28/2015","33","","Upland","06-071-1004","AQS"
"03/01/2015","53","","Big Bear","06-071-8001","AQS"
"03/02/2015","34","","Upland","06-071-1004","AQS"
